Date,Event,Actual,Forecast,Previous
apr16.2007,US Retail Sales m/m,0.7%,0.4%,0.5%
apr17.2007,US Core CPI m/m,0.1%,0.2%,0.2%
apr17.2007,US CPI m/m,0.6%,0.6%,0.4%
apr17.2007,US Capacity Utilization Rate,81.4%,82.0%,81.6%
apr17.2007,US Industrial Production m/m,-0.2%,0.2%,0.8%
apr18.2007,US Crude Oil Inventories,-1.0M,0.7M,0.7M
apr18.2007,US Distillate Inventories,-0.8M,-0.9M,0.2M
apr18.2007,US Gasoline Inventories,-2.7M,-1.9M,-5.5M
apr19.2007,US Natural Gas Storage,-46B,-48B,23B
apr25.2007,US Crude Oil Inventories,2.1M,-1.5M,-1.0M
apr25.2007,US Distillate Inventories,0.0M,0.5M,-0.8M
apr25.2007,US Gasoline Inventories,-2.8M,-0.5M,-2.7M
apr26.2007,US Natural Gas Storage,18B,18B,-46B
apr27.2007,US Advance GDP q/q,1.3%,1.9%,2.5%
apr30.2007,EZ Consumer Confidence,-4,-4,-4
may01.2007,US ISM Manufacturing PMI,54.7,51.0,50.9
may02.2007,US Factory Orders m/m,3.1%,1.8%,1.4%
may02.2007,US Crude Oil Inventories,1.2M,1.5M,2.1M
may02.2007,US Distillate Inventories,-0.2M,0.3M,0.0M
may02.2007,US Gasoline Inventories,-1.1M,-1.3M,-2.8M
may03.2007,US ISM Services PMI,56.0,53.2,52.4
may03.2007,US Natural Gas Storage,87B,81B,18B
may04.2007,US Average Hourly Earnings m/m,0.2%,0.3%,0.3%
may04.2007,US Non-Farm Employment Change,88K,107K,177K
may04.2007,US Unemployment Rate,4.5%,4.5%,4.4%
may09.2007,US Crude Oil Inventories,5.5M,0.9M,1.2M
may09.2007,US Distillate Inventories,1.6M,0.5M,-0.2M
may09.2007,US Gasoline Inventories,0.4M,0.2M,-1.1M
may10.2007,US Trade Balance,-63.9B,-60.0B,-57.9B
may10.2007,US Natural Gas Storage,96B,96B,87B
may11.2007,CA Employment Change,-5.2K,18.5K,54.9K
may11.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
may11.2007,US Retail Sales m/m,-0.2%,0.4%,1.0%
may15.2007,US Core CPI m/m,0.2%,0.2%,0.1%
may15.2007,US CPI m/m,0.4%,0.5%,0.6%
may16.2007,US Capacity Utilization Rate,81.6%,81.4%,81.2%
may16.2007,US Industrial Production m/m,0.7%,0.3%,-0.3%
may16.2007,US Crude Oil Inventories,1.1M,0.0M,5.5M
may16.2007,US Distillate Inventories,1.0M,1.3M,1.6M
may16.2007,US Gasoline Inventories,1.8M,1.0M,0.4M
may17.2007,US Natural Gas Storage,95B,97B,96B
may23.2007,US Crude Oil Inventories,2.0M,0.6M,1.1M
may23.2007,US Distillate Inventories,0.5M,1.3M,1.0M
may23.2007,US Gasoline Inventories,1.4M,1.2M,1.8M
may24.2007,US Natural Gas Storage,104B,96B,95B
may31.2007,EZ Consumer Confidence,-1,-4,-4
may31.2007,US Crude Oil Inventories,-2.0M,1.0M,2.0M
may31.2007,US Distillate Inventories,0.1M,0.7M,0.5M
may31.2007,US Gasoline Inventories,1.4M,1.5M,1.4M
may31.2007,US Natural Gas Storage,107B,105B,104B
jun01.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.2%
jun01.2007,US Non-Farm Employment Change,157K,135K,80K
jun01.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jun01.2007,US ISM Manufacturing PMI,55.0,54.0,54.7
jun04.2007,US Factory Orders m/m,0.3%,0.7%,4.1%
jun05.2007,US ISM Services PMI,59.7,55.3,56.0
jun06.2007,US Crude Oil Inventories,0.1M,0.1M,-2.0M
jun06.2007,US Distillate Inventories,1.9M,0.9M,0.1M
jun06.2007,US Gasoline Inventories,3.5M,1.6M,1.4M
jun07.2007,US Natural Gas Storage,110B,105B,107B
jun08.2007,CA Employment Change,9.3K,16.0K,-5.2K
jun08.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
jun08.2007,US Trade Balance,-58.5B,-63.5B,-62.4B
jun13.2007,US Retail Sales m/m,1.4%,0.6%,-0.1%
jun13.2007,US Crude Oil Inventories,0.1M,-0.3M,0.1M
jun13.2007,US Distillate Inventories,0.3M,1.7M,1.9M
jun13.2007,US Gasoline Inventories,0.0M,1.6M,3.5M
jun14.2007,US Natural Gas Storage,92B,98B,110B
jun15.2007,US Core CPI m/m,0.1%,0.2%,0.2%
jun15.2007,US CPI m/m,0.7%,0.6%,0.4%
jun15.2007,US Capacity Utilization Rate,81.3%,81.6%,81.5%
jun15.2007,US Industrial Production m/m,0.0%,0.1%,0.4%
jun20.2007,US Crude Oil Inventories,6.9M,0.0M,0.1M
jun20.2007,US Distillate Inventories,0.2M,0.9M,0.3M
jun20.2007,US Gasoline Inventories,1.8M,1.2M,0.0M
jun21.2007,US Natural Gas Storage,89B,88B,92B
jun27.2007,US Crude Oil Inventories,1.6M,1.6M,6.9M
jun27.2007,US Distillate Inventories,-2.3M,0.6M,0.2M
jun27.2007,US Gasoline Inventories,-0.7M,1.0M,1.8M
jun28.2007,US Natural Gas Storage,99B,84B,89B
jun29.2007,EZ Consumer Confidence,-2,-1,-1
jul02.2007,US ISM Manufacturing PMI,56.0,55.0,55.0
jul03.2007,US Factory Orders m/m,-0.5%,-0.9%,0.5%
jul05.2007,US ISM Services PMI,60.7,58.1,59.7
jul05.2007,US Crude Oil Inventories,3.2M,-0.2M,1.6M
jul05.2007,US Distillate Inventories,1.2M,0.5M,-2.3M
jul05.2007,US Gasoline Inventories,1.9M,0.5M,-0.7M
jul06.2007,CA Employment Change,34.8K,17.5K,9.3K
jul06.2007,CA Unemployment Rate,6.1%,6.1%,6.1%
jul06.2007,US Average Hourly Earnings m/m,0.3%,0.4%,0.4%
jul06.2007,US Non-Farm Employment Change,132K,125K,190K
jul06.2007,US Unemployment Rate,4.5%,4.5%,4.5%
jul06.2007,US Natural Gas Storage,78B,82B,99B
jul11.2007,US Crude Oil Inventories,-1.5M,0.0M,3.2M
jul11.2007,US Distillate Inventories,0.8M,0.9M,1.2M
jul11.2007,US Gasoline Inventories,1.1M,0.8M,1.9M
jul12.2007,US Trade Balance,-60.0B,-60.0B,-58.7B
jul12.2007,US Natural Gas Storage,106B,97B,78B
jul13.2007,US Retail Sales m/m,-0.9%,0.0%,1.5%
jul17.2007,US Capacity Utilization Rate,81.7%,81.5%,81.4%
jul17.2007,US Industrial Production m/m,0.5%,0.4%,-0.1%
jul18.2007,US Core CPI m/m,0.2%,0.2%,0.1%
jul18.2007,US CPI m/m,0.2%,0.1%,0.7%
jul18.2007,US Crude Oil Inventories,-0.4M,-0.5M,-1.5M
jul18.2007,US Distillate Inventories,-0.1M,0.9M,0.8M
jul18.2007,US Gasoline Inventories,-2.2M,0.9M,1.1M
jul19.2007,US Natural Gas Storage,65B,69B,106B
jul25.2007,US Crude Oil Inventories,-1.1M,-1.4M,-0.4M
jul25.2007,US Distillate Inventories,1.4M,0.8M,-0.1M
jul25.2007,US Gasoline Inventories,0.8M,0.2M,-2.2M
jul26.2007,US Natural Gas Storage,71B,70B,65B
jul27.2007,US Advance GDP q/q,3.4%,3.2%,0.7%
jul31.2007,EZ Consumer Confidence,-2,-2,-2
aug01.2007,US ISM Manufacturing PMI,53.8,55.7,56.0
aug01.2007,US Crude Oil Inventories,-6.5M,-1.0M,-1.1M
aug01.2007,US Distillate Inventories,2.9M,1.3M,1.4M
aug01.2007,US Gasoline Inventories,0.6M,0.0M,0.8M
aug02.2007,US Factory Orders m/m,0.6%,1.2%,-0.5%
aug02.2007,US Natural Gas Storage,77B,74B,71B
aug03.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.4%
aug03.2007,US Non-Farm Employment Change,92K,135K,126K
aug03.2007,US Unemployment Rate,4.6%,4.5%,4.5%
aug03.2007,US ISM Services PMI,55.8,59.5,60.7
aug08.2007,US Crude Oil Inventories,-4.1M,-2.8M,-6.5M
aug08.2007,US Distillate Inventories,1.0M,1.7M,2.9M
aug08.2007,US Gasoline Inventories,-1.7M,0.8M,0.6M
aug09.2007,US Natural Gas Storage,42B,50B,77B
aug10.2007,CA Employment Change,11.3K,21.0K,34.8K
aug10.2007,CA Unemployment Rate,6.0%,6.1%,6.1%
aug13.2007,US Retail Sales m/m,0.3%,0.3%,-0.7%
aug14.2007,US Trade Balance,-58.1B,-61.0B,-59.2B
aug15.2007,US Core CPI m/m,0.2%,0.2%,0.2%
aug15.2007,US CPI m/m,0.1%,0.2%,0.2%
aug15.2007,US Capacity Utilization Rate,81.9%,81.8%,81.8%
aug15.2007,US Industrial Production m/m,0.3%,0.3%,0.6%
aug15.2007,US Crude Oil Inventories,-5.2M,-2.5M,-4.1M
aug15.2007,US Distillate Inventories,0.2M,1.3M,1.0M
aug15.2007,US Gasoline Inventories,-1.1M,-0.7M,-1.7M
aug16.2007,US Natural Gas Storage,21B,24B,42B
aug22.2007,US Crude Oil Inventories,1.9M,-2.8M,-5.2M
aug22.2007,US Distillate Inventories,1.4M,0.9M,0.2M
aug22.2007,US Gasoline Inventories,-5.7M,-0.8M,-1.1M
aug23.2007,US Natural Gas Storage,23B,29B,21B
aug29.2007,US Crude Oil Inventories,-3.5M,-0.6M,1.9M
aug29.2007,US Distillate Inventories,0.9M,0.8M,1.4M
aug29.2007,US Gasoline Inventories,-3.7M,-2.5M,-5.7M
aug30.2007,US Natural Gas Storage,43B,40B,23B
aug31.2007,EZ Consumer Confidence,-3,-2,-2
aug31.2007,US Factory Orders m/m,3.7%,3.3%,1.0%
sep04.2007,US ISM Manufacturing PMI,52.9,53.2,53.8
sep06.2007,US ISM Services PMI,55.8,54.5,55.8
sep06.2007,US Crude Oil Inventories,-4.0M,-2.1M,-3.5M
sep06.2007,US Distillate Inventories,2.3M,1.0M,0.9M
sep06.2007,US Gasoline Inventories,-1.5M,-1.3M,-3.7M
sep06.2007,US Natural Gas Storage,36B,44B,43B
sep07.2007,CA Employment Change,23.3K,15.3K,11.3K
sep07.2007,CA Unemployment Rate,6.0%,6.1%,6.0%
sep07.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
sep07.2007,US Non-Farm Employment Change,-4K,110K,68K
sep07.2007,US Unemployment Rate,4.6%,4.6%,4.6%
sep11.2007,US Trade Balance,-59.2B,-59.0B,-59.4B
sep12.2007,US Crude Oil Inventories,-7.0M,-2.7M,-4.0M
sep12.2007,US Distillate Inventories,1.8M,1.9M,2.3M
sep12.2007,US Gasoline Inventories,-0.7M,-0.5M,-1.5M
sep13.2007,US Natural Gas Storage,64B,61B,36B
sep14.2007,US Retail Sales m/m,0.3%,0.6%,0.5%
sep14.2007,US Capacity Utilization Rate,82.2%,82.0%,82.2%
sep14.2007,US Industrial Production m/m,0.2%,0.3%,0.5%
sep19.2007,US Core CPI m/m,0.2%,0.2%,0.2%
sep19.2007,US CPI m/m,-0.1%,0.0%,0.1%
sep19.2007,US Crude Oil Inventories,-3.9M,-2.0M,-7.0M
sep19.2007,US Distillate Inventories,1.6M,1.2M,1.8M
sep19.2007,US Gasoline Inventories,0.4M,-1.0M,-0.7M
sep20.2007,US Natural Gas Storage,63B,66B,64B
sep26.2007,US Crude Oil Inventories,1.8M,-2.1M,-3.9M
sep26.2007,US Distillate Inventories,1.5M,1.1M,1.6M
sep26.2007,US Gasoline Inventories,0.5M,-0.3M,0.4M
sep27.2007,US Natural Gas Storage,74B,73B,63B
sep28.2007,EZ Consumer Confidence,-5,-4,-4
oct01.2007,US ISM Manufacturing PMI,52.0,52.8,52.9
oct03.2007,US ISM Services PMI,54.8,55.0,55.8
oct03.2007,US Crude Oil Inventories,1.1M,-0.5M,1.8M
oct03.2007,US Distillate Inventories,-1.2M,1.3M,1.5M
oct03.2007,US Gasoline Inventories,0.0M,0.5M,0.5M
oct04.2007,US Factory Orders m/m,-3.3%,-2.6%,3.4%
oct04.2007,US Natural Gas Storage,57B,64B,74B
oct05.2007,CA Employment Change,51.1K,16.5K,23.3K
oct05.2007,CA Unemployment Rate,5.9%,6.1%,6.0%
oct05.2007,US Average Hourly Earnings m/m,0.4%,0.3%,0.3%
oct05.2007,US Non-Farm Employment Change,110K,100K,89K
oct05.2007,US Unemployment Rate,4.7%,4.7%,4.6%
oct11.2007,US Trade Balance,-57.6B,-58.8B,-59.2B
oct11.2007,US Crude Oil Inventories,-1.7M,1.1M,1.1M
oct11.2007,US Distillate Inventories,-0.6M,-0.8M,-1.2M
oct11.2007,US Gasoline Inventories,1.7M,-0.4M,0.0M
oct11.2007,US Natural Gas Storage,73B,70B,57B
oct12.2007,US Retail Sales m/m,0.6%,0.3%,0.3%
oct16.2007,US Capacity Utilization Rate,82.1%,82.2%,82.1%
oct16.2007,US Industrial Production m/m,0.1%,0.1%,0.0%
oct17.2007,US Core CPI m/m,0.2%,0.2%,0.2%
oct17.2007,US CPI m/m,0.3%,0.2%,-0.1%
oct17.2007,US Crude Oil Inventories,1.8M,0.8M,-1.7M
oct17.2007,US Distillate Inventories,1.0M,-0.7M,-0.6M
oct17.2007,US Gasoline Inventories,2.8M,0.4M,1.7M
oct18.2007,US Natural Gas Storage,39B,50B,73B
oct24.2007,US Crude Oil Inventories,-5.3M,1.0M,1.8M
oct24.2007,US Distillate Inventories,-1.8M,0.3M,1.0M
oct24.2007,US Gasoline Inventories,-1.9M,0.5M,2.8M
oct25.2007,US Natural Gas Storage,68B,54B,39B
oct31.2007,EZ Consumer Confidence,-6,-5,-6
oct31.2007,US Advance GDP q/q,3.9%,3.1%,3.8%
oct31.2007,US Crude Oil Inventories,-3.9M,0.4M,-5.3M
oct31.2007,US Distillate Inventories,0.8M,-1.0M,-1.8M
oct31.2007,US Gasoline Inventories,1.3M,-0.2M,-1.9M
nov01.2007,US ISM Manufacturing PMI,50.9,51.7,52.0
nov01.2007,US Natural Gas Storage,66B,59B,68B
nov02.2007,CA Employment Change,63.0K,12.0K,51.1K
nov02.2007,CA Unemployment Rate,5.8%,5.9%,5.9%
nov02.2007,US Average Hourly Earnings m/m,0.2%,0.3%,0.3%
nov02.2007,US Non-Farm Employment Change,166K,82K,96K
nov02.2007,US Unemployment Rate,4.7%,4.7%,4.7%
nov02.2007,US Factory Orders m/m,0.2%,-0.5%,-3.5%
nov05.2007,US ISM Services PMI,55.8,54.0,54.8
nov07.2007,US Crude Oil Inventories,-0.8M,-1.3M,-3.9M
nov07.2007,US Distillate Inventories,0.1M,-0.5M,0.8M
nov07.2007,US Gasoline Inventories,-0.8M,0.0M,1.3M
nov08.2007,US Natural Gas Storage,36B,30B,66B
nov09.2007,US Trade Balance,-56.5B,-59.0B,-56.8B
nov14.2007,US Retail Sales m/m,0.2%,0.2%,0.7%
nov15.2007,US Core CPI m/m,0.2%,0.2%,0.2%
nov15.2007,US CPI m/m,0.3%,0.3%,0.3%
nov15.2007,US Crude Oil Inventories,2.8M,-0.8M,-0.8M
nov15.2007,US Distillate Inventories,2.0M,-0.2M,0.1M
nov15.2007,US Gasoline Inventories,0.7M,-0.4M,-0.8M
nov15.2007,US Natural Gas Storage,-9B,-8B,36B
nov16.2007,US Capacity Utilization Rate,81.7%,82.0%,82.2%
nov16.2007,US Industrial Production m/m,-0.5%,0.1%,0.2%
nov21.2007,US Crude Oil Inventories,-1.1M,0.8M,2.8M
nov21.2007,US Distillate Inventories,-2.4M,-0.5M,2.0M
nov21.2007,US Gasoline Inventories,0.2M,0.9M,0.7M
nov21.2007,US Natural Gas Storage,4B,2B,-9B
nov28.2007,US Crude Oil Inventories,-0.5M,-1.0M,-1.1M
nov28.2007,US Distillate Inventories,-0.1M,-1.2M,-2.4M
nov28.2007,US Gasoline Inventories,1.4M,0.5M,0.2M
nov29.2007,US Natural Gas Storage,-12B,-20B,4B
nov30.2007,EZ Consumer Confidence,-8,-6,-6
dec03.2007,US ISM Manufacturing PMI,50.8,50.5,50.9
dec05.2007,US Factory Orders m/m,0.5%,0.1%,0.3%
dec05.2007,US ISM Services PMI,54.1,55.0,55.8
dec05.2007,US Crude Oil Inventories,-7.9M,-1.3M,-0.5M
dec05.2007,US Distillate Inventories,1.4M,-0.3M,-0.1M
dec05.2007,US Gasoline Inventories,4.0M,0.6M,1.4M
dec06.2007,US Natural Gas Storage,-88B,-79B,-12B
dec07.2007,CA Employment Change,42.6K,8.0K,63.0K
dec07.2007,CA Unemployment Rate,5.9%,5.9%,5.8%
dec07.2007,US Average Hourly Earnings m/m,0.5%,0.3%,0.1%
dec07.2007,US Non-Farm Employment Change,94K,75K,170K
dec07.2007,US Unemployment Rate,4.7%,4.8%,4.7%
dec12.2007,US Trade Balance,-57.8B,-57.3B,-57.1B
dec12.2007,US Crude Oil Inventories,-0.7M,-0.9M,-7.9M
dec12.2007,US Distillate Inventories,-0.8M,0.5M,1.4M
dec12.2007,US Gasoline Inventories,1.6M,1.0M,4.0M
dec13.2007,US Retail Sales m/m,1.2%,0.5%,0.2%
dec13.2007,US Natural Gas Storage,-146B,-127B,-88B
dec14.2007,US Core CPI m/m,0.3%,0.2%,0.2%
dec14.2007,US CPI m/m,0.8%,0.6%,0.3%
dec14.2007,US Capacity Utilization Rate,81.5%,81.7%,81.4%
dec14.2007,US Industrial Production m/m,0.3%,0.1%,-0.7%
dec19.2007,US Crude Oil Inventories,-7.6M,-1.5M,-0.7M
dec19.2007,US Distillate Inventories,-2.2M,-0.5M,-0.8M
dec19.2007,US Gasoline Inventories,3.0M,0.8M,1.6M
dec20.2007,US Natural Gas Storage,-121B,-133B,-146B
dec27.2007,US Crude Oil Inventories,-3.3M,-1.4M,-7.6M
dec27.2007,US Distillate Inventories,-2.8M,-0.9M,-2.2M
dec27.2007,US Gasoline Inventories,0.6M,1.4M,3.0M
dec28.2007,US Natural Gas Storage,-165B,-155B,-121B
jan02.2008,US ISM Manufacturing PMI,47.7,50.7,50.8
jan03.2008,US Factory Orders m/m,1.5%,0.5%,0.7%
jan03.2008,US Crude Oil Inventories,-4.0M,-2.3M,-3.3M
jan03.2008,US Distillate Inventories,0.6M,-0.6M,-2.8M
jan03.2008,US Gasoline Inventories,2.0M,1.5M,0.6M
jan04.2008,US Average Hourly Earnings m/m,0.4%,0.3%,0.4%
jan04.2008,US Non-Farm Employment Change,18K,70K,115K
jan04.2008,US Unemployment Rate,5.0%,4.8%,4.7%
jan04.2008,US ISM Services PMI,53.9,53.5,54.1
jan04.2008,US Natural Gas Storage,-87B,-110B,-165B
jan07.2008,EZ Consumer Confidence,-9,-8,-8
jan09.2008,US Crude Oil Inventories,-6.7M,-2.1M,-4.0M
jan09.2008,US Distillate Inventories,1.5M,1.0M,0.6M
jan09.2008,US Gasoline Inventories,5.2M,1.6M,2.0M
jan10.2008,US Natural Gas Storage,-171B,-163B,-87B
jan11.2008,CA Employment Change,-18.7K,15.0K,42.6K
jan11.2008,CA Unemployment Rate,5.9%,5.9%,5.9%
jan11.2008,US Trade Balance,-63.1B,-59.5B,-57.8B
jan15.2008,US Retail Sales m/m,-0.4%,0.0%,1.0%
jan16.2008,US Core CPI m/m,0.2%,0.2%,0.3%
jan16.2008,US CPI m/m,0.3%,0.2%,0.8%
jan16.2008,US Capacity Utilization Rate,81.4%,81.2%,81.6%
jan16.2008,US Industrial Production m/m,0.0%,-0.1%,0.3%
jan16.2008,US Crude Oil Inventories,4.3M,1.3M,-6.7M
jan16.2008,US Distillate Inventories,1.2M,1.3M,1.5M
jan16.2008,US Gasoline Inventories,2.2M,2.5M,5.2M
jan17.2008,US Natural Gas Storage,-59B,-60B,-171B
jan24.2008,US Crude Oil Inventories,2.3M,1.5M,4.3M
jan24.2008,US Distillate Inventories,-1.3M,0.0M,1.2M
jan24.2008,US Gasoline Inventories,5.1M,1.4M,2.2M
jan24.2008,US Natural Gas Storage,-155B,-159B,-59B
jan30.2008,US Advance GDP q/q,0.6%,1.2%,4.9%
jan30.2008,US Crude Oil Inventories,3.6M,2.0M,2.3M
jan30.2008,US Distillate Inventories,-1.5M,2.2M,-1.3M
jan30.2008,US Gasoline Inventories,3.6M,1.9M,5.1M
jan31.2008,EZ Consumer Confidence,-12,-10,-9
jan31.2008,US Natural Gas Storage,-274B,-257B,-155B
feb01.2008,US Average Hourly Earnings m/m,0.2%,0.3%,0.4%
